codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_status,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_ano,ocorrencia_tipo,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pais_fabricante,aeronave_registro_segmento,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,fator_nome,fator_aspecto,fator_condicionante,fator_area
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,APLICAÇÃO DE COMANDOS,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,ATENÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,CAPACITAÇÃO E TREINAMENTO,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,CLIMA ORGANIZACIONAL,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,COMUNICAÇÃO,ASPECTO PSICOLÓGICO,PSICOSSOCIAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,COORDENAÇÃO DE CABINE,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,CULTURA DO GRUPO DE TRABALHO,ASPECTO PSICOLÓGICO,PSICOSSOCIAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,CULTURA ORGANIZACIONAL,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,DESVIO DE NAVEGAÇÃO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,DINÂMICA DE EQUIPE,ASPECTO PSICOLÓGICO,PSICOSSOCIAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,FRASEOLOGIA DO ÓRGÃO ATS,DESEMPENHO DO SER HUMANO,PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO,FATOR OPERACIONAL
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,LIDERANÇA,ASPECTO PSICOLÓGICO,PSICOSSOCIAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,PERCEPÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,PROCESSOS ORGANIZACIONAIS,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,FINALIZADA,3,1,2012,COM PESSOAL EM VOO,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,BRASIL,REGULAR,DESCIDA,REGULAR,NENHUM,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45396,45396,45396,45396,45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,2012-01-11,11:21:00,FINALIZADA,0,1,2012,COM TREM DE POUSO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,SUBIDA,PRIVADA,LEVE,0,INDISCIPLINA DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45396,45396,45396,45396,45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,2012-01-11,11:21:00,FINALIZADA,0,1,2012,COM TREM DE POUSO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,SUBIDA,PRIVADA,LEVE,0,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL
45396,45396,45396,45396,45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,2012-01-11,11:21:00,FINALIZADA,0,1,2012,COM TREM DE POUSO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,SUBIDA,PRIVADA,LEVE,0,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45396,45396,45396,45396,45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,2012-01-11,11:21:00,FINALIZADA,0,1,2012,COM TREM DE POUSO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,SUBIDA,PRIVADA,LEVE,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45408,45408,45408,45408,45408,ACIDENTE,ELDORADO,SP,****,2012-01-11,13:45:00,FINALIZADA,1,1,2012,PERDA DE CONTROLE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,CIRCUITO DE TRÁFEGO,AGRÍCOLA,SUBSTANCIAL,1,APLICAÇÃO DE COMANDOS,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45408,45408,45408,45408,45408,ACIDENTE,ELDORADO,SP,****,2012-01-11,13:45:00,FINALIZADA,1,1,2012,PERDA DE CONTROLE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,CIRCUITO DE TRÁFEGO,AGRÍCOLA,SUBSTANCIAL,1,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
50714,50714,50714,50714,50714,INCIDENTE GRAVE,CAMOCIM,CE,SNWC,2012-01-17,18:25:00,FINALIZADA,0,1,2012,POUSO SEM TREM,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ESQUECIMENTO DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45399,45399,45399,45399,45399,INCIDENTE GRAVE,MUANÁ,PA,****,2012-01-18,17:35:00,FINALIZADA,0,1,2012,FALHA DO MOTOR EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NENHUM,0,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL
45392,45392,45392,45392,45392,ACIDENTE,BRASÍLIA,DF,****,2012-01-19,21:30:00,FINALIZADA,2,1,2012,PERDA DE CONTROLE EM VOO,HELICÓPTERO,ROBINSON HELICOPTER,TURBOEIXO,MONOMOTOR,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,INDISCIPLINA DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45392,45392,45392,45392,45392,ACIDENTE,BRASÍLIA,DF,****,2012-01-19,21:30:00,FINALIZADA,2,1,2012,PERDA DE CONTROLE EM VOO,HELICÓPTERO,ROBINSON HELICOPTER,TURBOEIXO,MONOMOTOR,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45392,45392,45392,45392,45392,ACIDENTE,BRASÍLIA,DF,****,2012-01-19,21:30:00,FINALIZADA,2,1,2012,PERDA DE CONTROLE EM VOO,HELICÓPTERO,ROBINSON HELICOPTER,TURBOEIXO,MONOMOTOR,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45392,45392,45392,45392,45392,ACIDENTE,BRASÍLIA,DF,****,2012-01-19,21:30:00,FINALIZADA,2,1,2012,PERDA DE CONTROLE EM VOO,HELICÓPTERO,ROBINSON HELICOPTER,TURBOEIXO,MONOMOTOR,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45390,45390,45390,45390,45390,ACIDENTE,CACHOEIRA DOURADA,GO,****,2012-01-20,21:00:00,FINALIZADA,0,1,2012,OPERAÇÃO A BAIXA ALTITUDE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45390,45390,45390,45390,45390,ACIDENTE,CACHOEIRA DOURADA,GO,****,2012-01-20,21:00:00,FINALIZADA,0,1,2012,OPERAÇÃO A BAIXA ALTITUDE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45400,45400,45400,45400,45400,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,2012-01-21,14:50:00,FINALIZADA,4,1,2012,FOGO EM VOO,AVIÃO,FOKKER,JATO,BIMOTOR,BRASIL,REGULAR,SUBIDA,REGULAR,LEVE,0,COORDENAÇÃO DE CABINE,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45400,45400,45400,45400,45400,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,2012-01-21,14:50:00,FINALIZADA,4,1,2012,FOGO EM VOO,AVIÃO,FOKKER,JATO,BIMOTOR,BRASIL,REGULAR,SUBIDA,REGULAR,LEVE,0,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,EXCURSÃO DE PISTA,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,INDISCIPLINA DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,EXCURSÃO DE PISTA,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,EXCURSÃO DE PISTA,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,EXCURSÃO DE PISTA,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,PERDA DE CONTROLE NO SOLO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,INDISCIPLINA DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,PERDA DE CONTROLE NO SOLO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,PERDA DE CONTROLE NO SOLO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45393,45393,45393,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,FINALIZADA,0,1,2012,PERDA DE CONTROLE NO SOLO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45397,45397,45397,45397,45397,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,****,2012-01-22,19:05:00,FINALIZADA,2,1,2012,FALHA DO MOTOR EM VOO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,BRASIL,MÚLTIPLA,CRUZEIRO,NÃO REGULAR,SUBSTANCIAL,0,INFLUÊNCIA DO MEIO AMBIENTE,***,***,***
45397,45397,45397,45397,45397,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,****,2012-01-22,19:05:00,FINALIZADA,2,1,2012,FALHA DO MOTOR EM VOO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,BRASIL,MÚLTIPLA,CRUZEIRO,NÃO REGULAR,SUBSTANCIAL,0,INSTRUÇÃO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45397,45397,45397,45397,45397,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,****,2012-01-22,19:05:00,FINALIZADA,2,1,2012,FALHA DO MOTOR EM VOO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,BRASIL,MÚLTIPLA,CRUZEIRO,NÃO REGULAR,SUBSTANCIAL,0,PROJETO,ASPECTO DE PROJETO,***,FATOR MATERIAL
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,APLICAÇÃO DE COMANDOS,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,ATITUDE,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,CARACTERÍSTICAS DA TAREFA,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,CONDIÇÕES METEOROLÓGICAS ADVERSAS,ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL,***,FATOR OPERACIONAL
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,INDISCIPLINA DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,MOTIVAÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,ORGANIZAÇÃO DO TRABALHO,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,PERCEPÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
45412,45412,45412,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,FINALIZADA,2,1,2012,PERDA DE COMPONENTE EM VOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45579,45579,45579,45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,2012-01-28,18:35:00,FINALIZADA,0,1,2012,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,CONDIÇÕES METEOROLÓGICAS ADVERSAS,ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL,***,FATOR OPERACIONAL
45579,45579,45579,45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,2012-01-28,18:35:00,FINALIZADA,0,1,2012,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45579,45579,45579,45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,2012-01-28,18:35:00,FINALIZADA,0,1,2012,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
45579,45579,45579,45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,2012-01-28,18:35:00,FINALIZADA,0,1,2012,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
45525,45525,45525,45525,45525,ACIDENTE,CAMPO FLORIDO,MG,****,2012-02-02,21:30:00,FINALIZADA,2,1,2012,FALHA DO MOTOR EM VOO,AVIÃO,AIR TRACTOR,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,CRUZEIRO,AGRÍCOLA,SUBSTANCIAL,0,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL
45525,45525,45525,45525,45525,ACIDENTE,CAMPO FLORIDO,MG,****,2012-02-02,21:30:00,FINALIZADA,2,1,2012,FALHA DO MOTOR EM VOO,AVIÃO,AIR TRACTOR,PISTÃO,MONOMOTOR,BRASIL,AGRÍCOLA,CRUZEIRO,AGRÍCOLA,SUBSTANCIAL,0,PROCESSOS ORGANIZACIONAIS,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
45587,45587,45587,45587,45587,ACIDENTE,CORRENTINA,BA,****,2012-02-05,20:27:00,FINALIZADA,0,1,2012,PERDA DE CONTROLE NO SOLO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,BRASIL,PARTICULAR,POUSO,AGRÍCOLA,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
